"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3872536","2020","US","All States, DC and Territories (median) **","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","89.3","","","","","53","Overall","Overall","HLTHPLN1","1","1","","","","","",""
"3873183","2020","UW","All States and DC (median) **","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","89.3","","","","","51","Overall","Overall","HLTHPLN1","2","2","","","","","",""
"3660378","2020","AL","Alabama","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","86.2","","","84.8","87.6","4808","Overall","Overall","HLTHPLN1","3","3","","","","","",""
"3664351","2020","AK","Alaska","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.9","","","87.3","90.5","3298","Overall","Overall","HLTHPLN1","4","4","","","","","",""
"3667081","2020","AZ","Arizona","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","85.4","","","84.4","86.5","9145","Overall","Overall","HLTHPLN1","5","5","","","","","",""
"3670366","2020","AR","Arkansas","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.0","","","86.6","89.4","4827","Overall","Overall","HLTHPLN1","6","6","","","","","",""
"3682089","2020","CA","California","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","89.3","","","88.1","90.5","4350","Overall","Overall","HLTHPLN1","7","7","","","","","",""
"3681565","2020","CO","Colorado","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.1","","","87.3","88.9","9144","Overall","Overall","HLTHPLN1","8","8","","","","","",""
"3670629","2020","CT","Connecticut","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","91.5","","","90.5","92.5","8345","Overall","Overall","HLTHPLN1","9","9","","","","","",""
"3693780","2020","DE","Delaware","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","89.9","","","88.6","91.2","3533","Overall","Overall","HLTHPLN1","10","10","","","","","",""
"3685303","2020","DC","District of Columbia","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","95.0","","","93.8","96.1","3314","Overall","Overall","HLTHPLN1","11","11","","","","","",""
"3685554","2020","FL","Florida","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","82.8","","","81.3","84.4","10156","Overall","Overall","HLTHPLN1","12","12","","","","","",""
"3705328","2020","GA","Georgia","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","81.8","","","80.3","83.2","7843","Overall","Overall","HLTHPLN1","13","13","","","","","",""
"3701569","2020","HI","Hawaii","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","93.3","","","92.5","94.2","7280","Overall","Overall","HLTHPLN1","14","14","","","","","",""
"3709814","2020","ID","Idaho","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","86.1","","","84.8","87.5","5305","Overall","Overall","HLTHPLN1","15","15","","","","","",""
"3699091","2020","IL","Illinois","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","90.8","","","89.2","92.4","3442","Overall","Overall","HLTHPLN1","16","16","","","","","",""
"3715280","2020","IN","Indiana","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.8","","","87.9","89.7","7723","Overall","Overall","HLTHPLN1","17","17","","","","","",""
"3714975","2020","IA","Iowa","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","92.3","","","91.6","93.0","9011","Overall","Overall","HLTHPLN1","18","18","","","","","",""
"3719358","2020","KS","Kansas","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.1","","","87.2","89.0","9565","Overall","Overall","HLTHPLN1","19","19","","","","","",""
"3733090","2020","KY","Kentucky","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","91.8","","","90.5","93.1","3699","Overall","Overall","HLTHPLN1","20","20","","","","","",""
"3731197","2020","LA","Louisiana","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","88.6","","","87.2","90.0","4339","Overall","Overall","HLTHPLN1","21","21","","","","","",""
"3729805","2020","ME","Maine","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","91.2","","","90.3","92.2","10285","Overall","Overall","HLTHPLN1","22","22","","","","","",""
"3733428","2020","MD","Maryland","Health Care Access/Coverage","Health Care Coverage","Do you have any kind of health care coverage?","Yes","BRFSS","%","Crude Prevalence","90.9","","","90.2","91.6","13245","Overall","Overall","HLTHPLN1","23","23","","","","","",""
