"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3873857","2020","US","All States, DC and Territories (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","","","53","Overall","Overall","ADDEPEV3","1","1","","","","","",""
"3872879","2020","US","All States, DC and Territories (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.8","","","","","53","Overall","Overall","ADDEPEV3","1","1","","","","","",""
"3876014","2020","UW","All States and DC (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.6","","","","","51","Overall","Overall","ADDEPEV3","2","2","","","","","",""
"3872590","2020","UW","All States and DC (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.5","","","","","51","Overall","Overall","ADDEPEV3","2","2","","","","","",""
"3660557","2020","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","22.1","25.0","1252","Overall","Overall","ADDEPEV3","3","3","","","","","",""
"3663687","2020","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.5","","","75.0","77.9","4064","Overall","Overall","ADDEPEV3","3","3","","","","","",""
"3665154","2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.9","","","14.0","17.8","566","Overall","Overall","ADDEPEV3","4","4","","","","","",""
"3669780","2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","84.1","","","82.2","86.0","3083","Overall","Overall","ADDEPEV3","4","4","","","","","",""
"3665887","2020","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.4","18.4","1867","Overall","Overall","ADDEPEV3","5","5","","","","","",""
"3655595","2020","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.6","","","81.6","83.6","8357","Overall","Overall","ADDEPEV3","5","5","","","","","",""
"3657717","2020","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","21.8","25.2","1116","Overall","Overall","ADDEPEV3","6","6","","","","","",""
"3663396","2020","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.5","","","74.8","78.2","4100","Overall","Overall","ADDEPEV3","6","6","","","","","",""
"3671227","2020","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.1","","","12.8","15.4","758","Overall","Overall","ADDEPEV3","7","7","","","","","",""
"3677915","2020","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","85.9","","","84.6","87.2","4018","Overall","Overall","ADDEPEV3","7","7","","","","","",""
"3680097","2020","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.4","","","17.6","19.4","1836","Overall","Overall","ADDEPEV3","8","8","","","","","",""
"3676905","2020","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","81.6","","","80.6","82.4","8295","Overall","Overall","ADDEPEV3","8","8","","","","","",""
"3678157","2020","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.5","19.0","1649","Overall","Overall","ADDEPEV3","9","9","","","","","",""
