Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Quartile Number,Suppression Flag
Uninsured at the Time of Interview,National Estimate,United States,United States,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.6,12.1,13.3,12.1 - 13.3,,,
Uninsured at the Time of Interview,By Age,United States,18 - 24 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.7,14.2,21.6,14.2 - 21.6,,,
Uninsured at the Time of Interview,By Age,United States,25 - 34 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.8,15.6,18.1,15.6 - 18.1,,,
Uninsured at the Time of Interview,By Age,United States,35 - 44 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.1,10.7,13.6,10.7 - 13.6,,,
Uninsured at the Time of Interview,By Age,United States,45 - 64 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.5,8.8,10.2,8.8 - 10.2,,,
Uninsured at the Time of Interview,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,14.3,13.3,15.5,13.3 - 15.5,,,
Uninsured at the Time of Interview,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.0,10.3,11.7,10.3 - 11.7,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.0,17.9,22.3,17.9 - 22.3,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.7,9.1,10.3,9.1 - 10.3,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.6,14.4,19.0,14.4 - 19.0,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.5,8.3,15.4,8.3 - 15.4,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.5,9.6,15.9,9.6 - 15.9,,,
Uninsured at the Time of Interview,By Education,United States,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.6,20.2,27.3,20.2 - 27.3,,,
Uninsured at the Time of Interview,By Education,United States,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.8,17.4,20.4,17.4 - 20.4,,,
Uninsured at the Time of Interview,By Education,United States,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.2,11.3,13.2,11.3 - 13.2,,,
Uninsured at the Time of Interview,By Education,United States,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,4.6,4.1,5.2,4.1 - 5.2,,,
